,0,1
256,300,428
257,300,440
258,300,452
259,300,464
260,300,476
261,300,488
262,300,500
263,300,512
264,300,524
265,300,536
266,300,548
267,300,560
268,300,572
269,300,584
270,300,596
271,300,608
272,300,620
273,300,632
274,300,644
275,300,656
276,300,668
277,300,680
278,300,692
279,312,332
280,312,344
281,312,356
282,312,368
283,312,380
284,312,392
285,312,404
286,312,416
287,312,428
288,312,440
289,312,452
290,312,464
291,312,476
292,312,488
293,312,500
294,312,512
295,312,524
296,312,536
297,312,548
298,312,560
299,312,572
300,312,584
301,312,596
302,312,608
303,312,620
304,312,632
305,312,644
306,312,656
307,312,668
308,312,680
309,312,692
310,324,332
311,324,344
312,324,356
313,324,368
314,324,380
315,324,392
316,324,404
317,324,416
318,324,428
319,324,440
320,324,452
321,324,464
322,324,476
323,324,488
324,324,500
325,324,512
326,324,524
327,324,536
328,324,548
329,324,560
330,324,572
331,324,584
332,324,596
333,324,608
334,324,620
335,324,632
336,324,644
337,324,656
338,324,668
339,324,680
340,324,692
341,336,332
342,336,344
343,336,356
344,336,368
345,336,380
346,336,392
347,336,404
348,336,416
349,336,428
350,336,440
351,336,452
352,336,464
353,336,476
354,336,488
355,336,500
356,336,512
357,336,524
358,336,536
359,336,548
360,336,560
361,336,572
362,336,584
363,336,596
364,336,608
365,336,620
366,336,632
367,336,644
368,336,656
369,336,668
370,336,680
371,336,692
372,348,332
373,348,344
374,348,356
375,348,368
376,348,380
377,348,392
378,348,404
379,348,416
380,348,428
381,348,440
382,348,452
383,348,464
384,348,476
385,348,488
386,348,500
387,348,512
388,348,524
389,348,536
390,348,548
391,348,560
392,348,572
393,348,584
394,348,596
395,348,608
396,348,620
397,348,632
398,348,644
399,348,656
400,348,668
401,348,680
402,348,692
403,360,332
404,360,344
405,360,356
406,360,368
407,360,380
408,360,392
409,360,404
410,360,416
411,360,428
412,360,440
413,360,452
414,360,464
415,360,476
416,360,488
417,360,500
418,360,512
419,360,524
420,360,536
421,360,548
422,360,560
423,360,572
424,360,584
425,360,596
426,360,608
427,360,620
428,360,632
429,360,644
430,360,656
431,360,668
432,360,680
433,360,692
434,372,332
435,372,344
436,372,356
437,372,368
438,372,380
439,372,392
440,372,404
441,372,416
442,372,428
443,372,440
444,372,452
445,372,464
446,372,476
447,372,488
448,372,500
449,372,512
450,372,524
451,372,536
452,372,548
453,372,560
454,372,572
455,372,584
456,372,596
457,372,608
458,372,620
459,372,632
460,372,644
461,372,656
462,372,668
463,372,680
464,372,692
465,384,332
466,384,344
467,384,356
468,384,368
469,384,380
470,384,392
471,384,404
472,384,416
473,384,428
474,384,440
475,384,452
476,384,464
477,384,476
478,384,488
479,384,500
480,384,512
481,384,524
482,384,536
483,384,548
484,384,560
485,384,572
486,384,584
487,384,596
488,384,608
489,384,620
490,384,632
491,384,644
492,384,656
493,384,668
494,384,680
495,384,692
496,396,332
497,396,344
498,396,356
499,396,368
500,396,380
501,396,392
502,396,404
503,396,416
504,396,428
505,396,440
506,396,452
507,396,464
508,396,476
509,396,488
510,396,500
511,396,512
512,396,524
513,396,536
514,396,548
515,396,560
516,396,572
517,396,584
518,396,596
519,396,608
520,396,620
521,396,632
522,396,644
523,396,656
524,396,668
525,396,680
526,396,692
527,408,332
528,408,344
529,408,356
530,408,368
531,408,380
532,408,392
533,408,404
534,408,416
535,408,428
536,408,440
537,408,452
538,408,464
539,408,476
540,408,488
541,408,500
542,408,512
543,408,524
544,408,536
545,408,548
546,408,560
547,408,572
548,408,584
549,408,596
550,408,608
551,408,620
552,408,632
553,408,644
554,408,656
555,408,668
556,408,680
557,408,692
558,420,332
559,420,344
560,420,356
561,420,368
562,420,380
563,420,392
564,420,404
565,420,416
566,420,428
567,420,440
568,420,452
569,420,464
570,420,476
571,420,488
572,420,500
573,420,512
574,420,524
575,420,536
576,420,548
577,420,560
578,420,572
579,420,584
580,420,596
581,420,608
582,420,620
583,420,632
584,420,644
585,420,656
586,420,668
587,420,680
588,420,692
589,432,332
590,432,344
591,432,356
592,432,368
593,432,380
594,432,392
595,432,404
596,432,416
597,432,428
598,432,440
599,432,452
600,432,464
601,432,476
602,432,488
603,432,500
604,432,512
605,432,524
606,432,536
607,432,548
608,432,560
609,432,572
610,432,584
611,432,596
612,432,608
613,432,620
614,432,632
615,432,644
616,432,656
617,432,668
618,432,680
619,432,692
620,444,332
621,444,344
622,444,356
623,444,368
624,444,380
625,444,392
